# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-179.9058455658171,0.0,0.14212949980717413,7.035837045488034,0.0,0.0
 0.1542983911020077,0.023807993496668126,0.1542983911020077,1.0,-179.9058455658171,0.0,0.14212949980717413,7.035837045488034,0.0,0.0
 0.21733361041928848,0.047233898217883055,0.3716320015212961,3.447812393978734,-179.7135227283779,0.0,0.1485251530443839,6.732866315924071,3.051037809055686,48.40211301080156
 0.2651048386174988,0.07028057545841006,0.48243844903678695,2.3195226854067377,-179.51578494432067,0.0,0.155266457633669,6.440541088142616,4.139265233810039,22.779975851554976
 0.3048784940143868,0.0929508961124805,0.569983332631886,2.201077138158862,-179.31243305427103,0.0,0.16237522688932304,6.1585749203085784,5.1127282121916915,24.475069456598604
 0.33948157702166815,0.11524774113711882,0.6443600710360554,2.1494251939492997,-179.10325883179692,0.0,0.16987483683502103,5.886687037534462,6.044959127777383,26.94068951571533
 0.37037008794179704,0.1371740020420145,0.7098516649634652,2.1202574023965437,-178.88804450150968,0.0,0.17779034981822706,5.624602240911279,6.967455661547149,29.86536114204876
 0.39841257686939924,0.15873258140771496,0.7687826648111957,2.1014896359547035,-178.6665622290622,0.0,0.18614864816630605,5.372050830616806,7.898096100502464,33.18679883793361
 0.4241773136719798,0.17992639343397712,0.8225898905413781,2.088405798299989,-178.43857358147298,0.0,0.19497857957541775,5.128768514867551,8.848863830288073,36.90189956415084
 0.4480606705796548,0.20075836452028994,0.8722379842516352,2.0787736791850446,-178.20382895607088,0.0,0.2043111144407731,4.894496330936934,9.828795269841873,41.02988718637353
 0.47035245707949336,0.22123143388071662,0.9184131276591474,2.071397167196385,-177.9620669762498,0.0,0.2141795166552001,4.668980561805376,10.845338924400139,45.601713194482144
 0.49127238289499964,0.2413485541953311,0.9616248399744929,2.065576747089422,-177.71301385226838,0.0,0.22461952867832388,4.451972657426832,11.905067263516903,50.656409992203244
 0.5109918710711062,0.26111269230074996,1.002264253966103,2.060875699646787,-177.456382705184,0.0,0.23566957229926108,4.243229154462786,13.014087627046846,56.23981482814074
 0.5296478357572694,0.2805268299223593,1.040639706828374,2.0570071560401986,-177.19187285195682,0.0,0.24737096620385432,4.042511598454592,14.17829941666784,62.40426636766056
 0.5473517739544805,0.2995939644511166,1.0769996097117462,2.0537748425432234,-176.9191690498259,0.0,0.25976816168385414,3.8495864678637206,15.403567222904437,69.20877109871562
 0.5641959852461849,0.3183171097679131,1.111547759200668,2.051039902707494,-176.6379406979102,0.0,0.272908998107941,3.664225096764599,16.695845655546435,76.71943852179278
 0.5802579573937842,0.3366992971188065,1.1444539426399674,2.0487013136937686,-176.34784099408535,0.0,0.28684497928301583,3.486203602027662,18.061275487160277,85.01009832830044
 0.5956035393150063,0.354743576044562,1.175861496708785,2.046683809714811,-176.04850604514255,0.0,0.30163157271421615,3.315302807997026,19.506262485153332,94.16306305039606
 0.6102892882627726,0.3724530153682813,1.2058928275777763,2.044930154791934,-175.73955392844195,0.0,0.31732853285897805,3.151308175758666,21.0375458411747,104.27002132937014
 0.6243642400434919,0.3898307042450868,1.2346535283062599,2.043396039756367,-175.42058370311278,0.0,0.33400025042412873,2.9940097312207237,22.6622606100927,115.43306110246398
 0.6378712670109654,0.40687975327817394,1.262235507054454,2.042046618742578,-175.09117436929415,0.0,0.3517161291556119,2.843201994747201,24.38799704863751,127.76582461118763
 0.6508481356705149,0.42360329570578464,1.288719402681484,2.0408541013891663,-174.75088377399368,0.0,0.3705509917151596,2.6986839122230557,26.2228588597213,141.39480480397253
 0.6633283415202589,0.4400044886640169,1.3141764771907793,2.0397960430931117,-174.39924746232433,0.0,0.39058551618683335,2.5602587872758145,28.175521774468127,156.46079385676876
 0.6753417760887317,0.4560865145306824,1.3386701176089946,2.0388541077582056,-174.03577747355223,0.0,0.4119067046431215,2.427734214393053,30.25529349666633,173.1204935894191
 0.6869152657757613,0.47185258235578464,1.362257041864496,2.0380131570804525,-173.65996108158419,0.0,0.43460838502133614,2.300922012700945,32.472175819985814,191.54830420801548
 0.6980730114999085,0.48730592938455125,1.3849882772756723,2.0372605697566923,-173.27125948036195,0.0,0.4587917469085517,2.179638162059886,34.836929504588646,211.93830215050696
 0.7089144891188913,0.5024498226793283,1.396847720117129,1.0938954318082512,-172.8691064153527,0.0,0.48456591212935285,2.0637027388196763,37.093934899162996,208.1824520508591
 0.7196133623550133,0.517287560847013,1.386850543998315,-0.9344139236140452,-172.45290676328776,0.0,0.5120485396014494,1.9529398536676725,38.901260242968604,168.92669946809377
 0.7302576955137111,0.531822475879111,1.3655073376034896,-2.0051238604256856,-172.02203506359695,0.0,0.5413664637023382,1.8471775905014949,40.47897536340618,148.22113296485577
 0.7408474016776212,0.5460579351118959,1.3442732982808927,-2.005158499577914,-171.57583400643009,0.0,0.572656364340108,1.7462479460126756,42.13535770118979,156.41438130064367
 0.7513824304634488,0.559997343314516,1.3231485633311513,-2.005190054929878,-171.11361288398118,0.0,0.6060654652359667,1.649986771001146,43.87469003129343,165.09991244100976
 0.7618627727819207,0.573644144913298,1.3021331922268435,-2.005218003926022,-170.63464601407955,0.0,0.6417522557524576,1.5582337125211896,45.70145281012547,174.30373200809515
